URL,date,isCancelled,name,place,meetingUrl,year
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,9-10/02,,Campionati Regionali Sicilia,Palermo,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/135288:campionati-regionali-master-sicilia.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,9-24/02,,Campionati Regionali Lazio,Ostia - RM,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134809:campionati-regionali-master-lazio.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,9-17/02,,Campionati Regionali Lombardia,Lodi - Cremona,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134631:campionati-regionali-master-lombardia.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,10-24/02,,Campionati Regionali Puglia,"Calimera (LE) - Noci (BA)
Bitonto (BA) - Bari",https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/135311:campionati-regionali-master-puglia.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,16/02,,Campionati Regionali Friuli VG,Trieste,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/135034:campionati-regionali-master-friuli-venezia-giulia.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,16-17/02,,Campionati Regionali Piemonte,Torino,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134628:campionati-regionali-master-piemonte.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,16-17/02,,Campionati Regionali Sardegna,Cagliari,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134701:campionati-regionali-master-sardegna.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,17/02,,Campionati Regionali Calabria,Cosenza,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134942:campionati-regionali-master-calabria.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,23-24/02,,Campionati Regionali Liguria,Genova,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134708:campionati-regionali-master-liguria.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,24/02,,Campionati Regionali Basilicata,Venosa (PZ),https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/135368:campionati-regionali-master-basilicata.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,24/02,,Campionati Regionali Umbria,Terni,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/135090:campionati-regionali-master-umbria.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,24/02,,Campionati Regionali Trentino Alto Adige,Trento,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/135088:campionati-regionali-master-trentino-aa.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,3/03,,3° Trofeo Fritz Dennerlein,Caserta,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/135471:3%C2%B0-trofeo-fritz-dennerlein.html,"2019"
